date,datatype,station,flags,temp_c
2021-02-25,TMAX,GHCND:USW00014732,",,W,2400",11.1
2021-02-25,TMIN,GHCND:USW00014732,",,W,2400",5.0
2021-02-26,TMAX,GHCND:USW00014732,",,W,2400",8.3
2021-02-26,TMIN,GHCND:USW00014732,",,W,2400",1.7
2021-02-27,TMAX,GHCND:USW00014732,",,W,2400",11.1
2021-02-27,TMIN,GHCND:USW00014732,",,W,2400",2.8
2021-02-28,TMAX,GHCND:USW00014732,",,W,2400",8.3
2021-02-28,TMIN,GHCND:USW00014732,",,W,2400",3.9
2021-03-01,TMAX,GHCND:USW00014732,",,W,2400",9.4
2021-03-01,TMIN,GHCND:USW00014732,",,W,2400",0.6
2021-03-02,TMAX,GHCND:USW00014732,",,W,2400",1.1
2021-03-02,TMIN,GHCND:USW00014732,",,W,2400",-4.9
2021-03-03,TMAX,GHCND:USW00014732,",,W,2400",11.7
2021-03-03,TMIN,GHCND:USW00014732,",,W,2400",0.6
2021-03-04,TMAX,GHCND:USW00014732,",,W,2400",7.2
2021-03-04,TMIN,GHCND:USW00014732,",,W,2400",-2.1
2021-03-05,TMAX,GHCND:USW00014732,",,W,2400",3.3
2021-03-05,TMIN,GHCND:USW00014732,",,W,2400",-4.3
2021-03-06,TMAX,GHCND:USW00014732,",,W,2400",1.7
2021-03-06,TMIN,GHCND:USW00014732,",,W,2400",-1.0
2021-03-07,TMAX,GHCND:USW00014732,",,W,2400",5.0
2021-03-07,TMIN,GHCND:USW00014732,",,W,2400",-1.0
2021-03-08,TMAX,GHCND:USW00014732,",,W,2400",6.7
2021-03-08,TMIN,GHCND:USW00014732,",,W,2400",-2.1
2021-03-09,TMAX,GHCND:USW00014732,",,W,2400",16.7
2021-03-09,TMIN,GHCND:USW00014732,",,W,2400",5.6
2021-03-10,TMAX,GHCND:USW00014732,",,W,2400",12.8
2021-03-10,TMIN,GHCND:USW00014732,",,W,2400",3.3
2021-03-11,TMAX,GHCND:USW00014732,",,W,2400",20.0
2021-03-11,TMIN,GHCND:USW00014732,",,W,2400",6.7
2021-03-12,TMAX,GHCND:USW00014732,",,W,2400",20.6
2021-03-12,TMIN,GHCND:USW00014732,",,W,2400",11.1
2021-03-13,TMAX,GHCND:USW00014732,",,W,2400",11.1
2021-03-13,TMIN,GHCND:USW00014732,",,W,2400",1.1
2021-03-14,TMAX,GHCND:USW00014732,",,W,2400",11.1
2021-03-14,TMIN,GHCND:USW00014732,",,W,2400",0.0
2021-03-15,TMAX,GHCND:USW00014732,",,W,2400",3.9
2021-03-15,TMIN,GHCND:USW00014732,",,W,2400",-3.8
2021-03-16,TMAX,GHCND:USW00014732,",,W,2400",2.2
2021-03-16,TMIN,GHCND:USW00014732,",,W,2400",-1.6
2021-03-17,TMAX,GHCND:USW00014732,",,W,2400",8.3
2021-03-17,TMIN,GHCND:USW00014732,",,W,2400",1.1
2021-03-18,TMAX,GHCND:USW00014732,",,W,2400",8.3
2021-03-18,TMIN,GHCND:USW00014732,",,W,2400",5.6
2021-03-19,TMAX,GHCND:USW00014732,",,W,2400",6.1
2021-03-19,TMIN,GHCND:USW00014732,",,W,2400",0.0
2021-03-20,TMAX,GHCND:USW00014732,",,W,2400",15.0
2021-03-20,TMIN,GHCND:USW00014732,",,W,2400",1.7
2021-03-21,TMAX,GHCND:USW00014732,",,W,2400",16.7
2021-03-21,TMIN,GHCND:USW00014732,",,W,2400",3.3
2021-03-22,TMAX,GHCND:USW00014732,",,W,2400",13.9
2021-03-22,TMIN,GHCND:USW00014732,",,W,2400",3.9
2021-03-23,TMAX,GHCND:USW00014732,",,W,2400",14.4
2021-03-23,TMIN,GHCND:USW00014732,",,W,2400",5.6
2021-03-24,TMAX,GHCND:USW00014732,",,W,2400",9.4
2021-03-24,TMIN,GHCND:USW00014732,",,W,2400",6.7
2021-03-25,TMAX,GHCND:USW00014732,",,W,2400",19.4
2021-03-25,TMIN,GHCND:USW00014732,",,W,2400",7.8
2021-03-26,TMAX,GHCND:USW00014732,",,W,2400",27.8
2021-03-26,TMIN,GHCND:USW00014732,",,W,2400",11.1
2021-03-27,TMAX,GHCND:USW00014732,",,W,2400",20.0
2021-03-27,TMIN,GHCND:USW00014732,",,W,2400",10.6
2021-03-28,TMAX,GHCND:USW00014732,",,W,2400",15.0
2021-03-28,TMIN,GHCND:USW00014732,",,W,2400",7.2
2021-03-29,TMAX,GHCND:USW00014732,",,W,2400",12.8
2021-03-29,TMIN,GHCND:USW00014732,",,W,2400",7.8
2021-03-30,TMAX,GHCND:USW00014732,",,W,2400",15.0
2021-03-30,TMIN,GHCND:USW00014732,",,W,2400",5.0
2021-03-31,TMAX,GHCND:USW00014732,",,W,2400",18.9
2021-03-31,TMIN,GHCND:USW00014732,",,W,2400",9.4
2021-04-01,TMAX,GHCND:USW00014732,",,W,2400",13.9
2021-04-01,TMIN,GHCND:USW00014732,",,W,2400",3.9
2021-04-02,TMAX,GHCND:USW00014732,",,W,2400",3.9
2021-04-02,TMIN,GHCND:USW00014732,",,W,2400",-1.6
2021-04-03,TMAX,GHCND:USW00014732,",,W,2400",12.2
2021-04-03,TMIN,GHCND:USW00014732,",,W,2400",1.1
2021-04-04,TMAX,GHCND:USW00014732,",,W,2400",17.2
2021-04-04,TMIN,GHCND:USW00014732,",,W,2400",7.8
2021-04-05,TMAX,GHCND:USW00014732,",,W,2400",19.4
2021-04-05,TMIN,GHCND:USW00014732,",,W,2400",9.4
2021-04-06,TMAX,GHCND:USW00014732,",,W,2400",20.6
2021-04-06,TMIN,GHCND:USW00014732,",,W,2400",9.4
2021-04-07,TMAX,GHCND:USW00014732,",,W,2400",21.7
2021-04-07,TMIN,GHCND:USW00014732,",,W,2400",10.6
2021-04-08,TMAX,GHCND:USW00014732,",,W,2400",21.1
2021-04-08,TMIN,GHCND:USW00014732,",,W,2400",8.9
2021-04-09,TMAX,GHCND:USW00014732,",,W,2400",14.4
2021-04-09,TMIN,GHCND:USW00014732,",,W,2400",8.9
2021-04-10,TMAX,GHCND:USW00014732,",,W,2400",19.4
2021-04-10,TMIN,GHCND:USW00014732,",,W,2400",10.0
2021-04-11,TMAX,GHCND:USW00014732,",,W,2400",13.3
2021-04-11,TMIN,GHCND:USW00014732,",,W,2400",8.3
2021-04-12,TMAX,GHCND:USW00014732,",,W,2400",10.6
2021-04-12,TMIN,GHCND:USW00014732,",,W,2400",7.8
2021-04-13,TMAX,GHCND:USW00014732,",,W,2400",18.3
2021-04-13,TMIN,GHCND:USW00014732,",,W,2400",7.2
2021-04-14,TMAX,GHCND:USW00014732,",,W,2400",22.2
2021-04-14,TMIN,GHCND:USW00014732,",,W,2400",9.4
2021-04-15,TMAX,GHCND:USW00014732,",,W,2400",15.0
2021-04-15,TMIN,GHCND:USW00014732,",,W,2400",7.2
2021-04-16,TMAX,GHCND:USW00014732,",,W,2400",11.7
2021-04-16,TMIN,GHCND:USW00014732,",,W,2400",5.6
2021-04-17,TMAX,GHCND:USW00014732,",,W,2400",12.8
2021-04-17,TMIN,GHCND:USW00014732,",,W,2400",6.7
2021-04-18,TMAX,GHCND:USW00014732,",,W,2400",17.2
2021-04-18,TMIN,GHCND:USW00014732,",,W,2400",10.0
2021-04-19,TMAX,GHCND:USW00014732,",,W,2400",18.3
2021-04-19,TMIN,GHCND:USW00014732,",,W,2400",11.1
2021-04-20,TMAX,GHCND:USW00014732,",,W,2400",24.4
2021-04-20,TMIN,GHCND:USW00014732,",,W,2400",11.1
2021-04-21,TMAX,GHCND:USW00014732,",,W,2400",18.3
2021-04-21,TMIN,GHCND:USW00014732,",,W,2400",4.4
2021-04-22,TMAX,GHCND:USW00014732,",,W,2400",10.0
2021-04-22,TMIN,GHCND:USW00014732,",,W,2400",2.8
2021-04-23,TMAX,GHCND:USW00014732,",,W,2400",18.3
2021-04-23,TMIN,GHCND:USW00014732,",,W,2400",5.0
2021-04-24,TMAX,GHCND:USW00014732,",,W,2400",21.7
2021-04-24,TMIN,GHCND:USW00014732,",,W,2400",11.7
2021-04-25,TMAX,GHCND:USW00014732,",,W,2400",17.8
2021-04-25,TMIN,GHCND:USW00014732,",,W,2400",10.0
2021-04-26,TMAX,GHCND:USW00014732,",,W,2400",15.6
2021-04-26,TMIN,GHCND:USW00014732,",,W,2400",6.1
2021-04-27,TMAX,GHCND:USW00014732,",,W,2400",16.7
2021-04-27,TMIN,GHCND:USW00014732,",,W,2400",9.4
2021-04-28,TMAX,GHCND:USW00014732,",,W,2400",28.3
2021-04-28,TMIN,GHCND:USW00014732,",,W,2400",10.6
2021-04-29,TMAX,GHCND:USW00014732,",,W,2400",22.2
2021-04-29,TMIN,GHCND:USW00014732,",,W,2400",15.6
2021-04-30,TMAX,GHCND:USW00014732,",,W,2400",22.2
2021-04-30,TMIN,GHCND:USW00014732,",,W,2400",8.3
2021-05-01,TMAX,GHCND:USW00014732,",,W,2400",18.3
2021-05-01,TMIN,GHCND:USW00014732,",,W,2400",6.7
2021-05-02,TMAX,GHCND:USW00014732,",,W,2400",28.3
2021-05-02,TMIN,GHCND:USW00014732,",,W,2400",14.4
2021-05-03,TMAX,GHCND:USW00014732,",,W,2400",16.7
2021-05-03,TMIN,GHCND:USW00014732,",,W,2400",11.1
2021-05-04,TMAX,GHCND:USW00014732,",,W,2400",20.6
2021-05-04,TMIN,GHCND:USW00014732,",,W,2400",10.6
2021-05-05,TMAX,GHCND:USW00014732,",,W,2400",16.1
2021-05-05,TMIN,GHCND:USW00014732,",,W,2400",10.6
2021-05-06,TMAX,GHCND:USW00014732,",,W,2400",18.9
2021-05-06,TMIN,GHCND:USW00014732,",,W,2400",11.1
2021-05-07,TMAX,GHCND:USW00014732,",,W,2400",16.7
2021-05-07,TMIN,GHCND:USW00014732,",,W,2400",10.6
2021-05-08,TMAX,GHCND:USW00014732,",,W,2400",12.8
2021-05-08,TMIN,GHCND:USW00014732,",,W,2400",10.0
2021-05-09,TMAX,GHCND:USW00014732,",,W,2400",17.8
2021-05-09,TMIN,GHCND:USW00014732,",,W,2400",8.9
2021-05-10,TMAX,GHCND:USW00014732,",,W,2400",15.6
2021-05-10,TMIN,GHCND:USW00014732,",,W,2400",8.9
2021-05-11,TMAX,GHCND:USW00014732,",,W,2400",20.0
2021-05-11,TMIN,GHCND:USW00014732,",,W,2400",11.1
2021-05-12,TMAX,GHCND:USW00014732,",,W,2400",20.0
2021-05-12,TMIN,GHCND:USW00014732,",,W,2400",8.9
2021-05-13,TMAX,GHCND:USW00014732,",,W,2400",21.7
2021-05-13,TMIN,GHCND:USW00014732,",,W,2400",12.2
2021-05-14,TMAX,GHCND:USW00014732,",,W,2400",24.4
2021-05-14,TMIN,GHCND:USW00014732,",,W,2400",13.3
2021-05-15,TMAX,GHCND:USW00014732,",,W,2400",25.0
2021-05-15,TMIN,GHCND:USW00014732,",,W,2400",13.9
2021-05-16,TMAX,GHCND:USW00014732,",,W,2400",26.1
2021-05-16,TMIN,GHCND:USW00014732,",,W,2400",16.1
2021-05-17,TMAX,GHCND:USW00014732,",,W,2400",25.6
2021-05-17,TMIN,GHCND:USW00014732,",,W,2400",15.0
2021-05-18,TMAX,GHCND:USW00014732,",,W,2400",28.3
2021-05-18,TMIN,GHCND:USW00014732,",,W,2400",16.7
2021-05-19,TMAX,GHCND:USW00014732,",,W,2400",30.0
2021-05-19,TMIN,GHCND:USW00014732,",,W,2400",18.9
2021-05-20,TMAX,GHCND:USW00014732,",,W,2400",24.4
2021-05-20,TMIN,GHCND:USW00014732,",,W,2400",15.6
2021-05-21,TMAX,GHCND:USW00014732,",,W,2400",25.0
2021-05-21,TMIN,GHCND:USW00014732,",,W,2400",15.6
2021-05-22,TMAX,GHCND:USW00014732,",,W,2400",31.1
2021-05-22,TMIN,GHCND:USW00014732,",,W,2400",16.7
2021-05-23,TMAX,GHCND:USW00014732,",,W,2400",31.1
2021-05-23,TMIN,GHCND:USW00014732,",,W,2400",20.0
2021-05-24,TMAX,GHCND:USW00014732,",,W,2400",20.6
2021-05-24,TMIN,GHCND:USW00014732,",,W,2400",15.0
2021-05-25,TMAX,GHCND:USW00014732,",,W,2400",22.2
2021-05-25,TMIN,GHCND:USW00014732,",,W,2400",15.0
2021-05-26,TMAX,GHCND:USW00014732,",,W,2400",30.0
2021-05-26,TMIN,GHCND:USW00014732,",,W,2400",18.9
2021-05-27,TMAX,GHCND:USW00014732,",,W,2400",28.3
2021-05-27,TMIN,GHCND:USW00014732,",,W,2400",18.9
2021-05-28,TMAX,GHCND:USW00014732,",,W,2400",20.0
2021-05-28,TMIN,GHCND:USW00014732,",,W,2400",10.6
2021-05-29,TMAX,GHCND:USW00014732,",,W,2400",11.1
2021-05-29,TMIN,GHCND:USW00014732,",,W,2400",8.9
2021-05-30,TMAX,GHCND:USW00014732,",,W,2400",11.1
2021-05-30,TMIN,GHCND:USW00014732,",,W,2400",8.9
2021-05-31,TMAX,GHCND:USW00014732,",,W,2400",21.7
2021-05-31,TMIN,GHCND:USW00014732,",,W,2400",10.0
2021-06-01,TMAX,GHCND:USW00014732,",,W,2400",26.1
2021-06-01,TMIN,GHCND:USW00014732,",,W,2400",13.3
2021-06-02,TMAX,GHCND:USW00014732,",,W,2400",24.4
2021-06-02,TMIN,GHCND:USW00014732,",,W,2400",16.7
2021-06-03,TMAX,GHCND:USW00014732,",,W,2400",24.4
2021-06-03,TMIN,GHCND:USW00014732,",,W,2400",16.1
2021-06-04,TMAX,GHCND:USW00014732,",,W,2400",26.7
2021-06-04,TMIN,GHCND:USW00014732,",,W,2400",17.8
2021-06-05,TMAX,GHCND:USW00014732,",,W,2400",34.4
2021-06-05,TMIN,GHCND:USW00014732,",,W,2400",18.9
2021-06-06,TMAX,GHCND:USW00014732,",,W,2400",35.0
2021-06-06,TMIN,GHCND:USW00014732,",,W,2400",24.4
2021-06-07,TMAX,GHCND:USW00014732,",,W,2400",33.9
2021-06-07,TMIN,GHCND:USW00014732,",,W,2400",24.4
2021-06-08,TMAX,GHCND:USW00014732,",,W,2400",33.3
2021-06-08,TMIN,GHCND:USW00014732,",,W,2400",22.2
2021-06-09,TMAX,GHCND:USW00014732,",,W,2400",32.8
2021-06-09,TMIN,GHCND:USW00014732,",,W,2400",23.3
2021-06-10,TMAX,GHCND:USW00014732,",,W,2400",27.2
2021-06-10,TMIN,GHCND:USW00014732,",,W,2400",18.3
2021-06-11,TMAX,GHCND:USW00014732,",,W,2400",20.0
2021-06-11,TMIN,GHCND:USW00014732,",,W,2400",16.7
2021-06-12,TMAX,GHCND:USW00014732,",,W,2400",21.7
2021-06-12,TMIN,GHCND:USW00014732,",,W,2400",17.2
2021-06-13,TMAX,GHCND:USW00014732,",,W,2400",25.0
2021-06-13,TMIN,GHCND:USW00014732,",,W,2400",17.2
2021-06-14,TMAX,GHCND:USW00014732,",,W,2400",23.3
2021-06-14,TMIN,GHCND:USW00014732,",,W,2400",18.9
2021-06-15,TMAX,GHCND:USW00014732,",,W,2400",28.3
2021-06-15,TMIN,GHCND:USW00014732,",,W,2400",19.4
2021-06-16,TMAX,GHCND:USW00014732,",,W,2400",25.0
2021-06-16,TMIN,GHCND:USW00014732,",,W,2400",17.8
2021-06-17,TMAX,GHCND:USW00014732,",,W,2400",26.1
2021-06-17,TMIN,GHCND:USW00014732,",,W,2400",16.7
2021-06-18,TMAX,GHCND:USW00014732,",,W,2400",30.0
2021-06-18,TMIN,GHCND:USW00014732,",,W,2400",18.9
2021-06-19,TMAX,GHCND:USW00014732,",,W,2400",32.8
2021-06-19,TMIN,GHCND:USW00014732,",,W,2400",20.0
2021-06-20,TMAX,GHCND:USW00014732,",,W,2400",30.6
2021-06-20,TMIN,GHCND:USW00014732,",,W,2400",20.6
2021-06-21,TMAX,GHCND:USW00014732,",,W,2400",30.6
2021-06-21,TMIN,GHCND:USW00014732,",,W,2400",23.3
2021-06-22,TMAX,GHCND:USW00014732,",,W,2400",26.7
2021-06-22,TMIN,GHCND:USW00014732,",,W,2400",16.1
2021-06-23,TMAX,GHCND:USW00014732,",,W,2400",25.0
2021-06-23,TMIN,GHCND:USW00014732,",,W,2400",14.4
2021-06-24,TMAX,GHCND:USW00014732,",,W,2400",25.6
2021-06-24,TMIN,GHCND:USW00014732,",,W,2400",17.2
2021-06-25,TMAX,GHCND:USW00014732,",,W,2400",27.8
2021-06-25,TMIN,GHCND:USW00014732,",,W,2400",17.8
2021-06-26,TMAX,GHCND:USW00014732,",,W,2400",29.4
2021-06-26,TMIN,GHCND:USW00014732,",,W,2400",20.6
2021-06-27,TMAX,GHCND:USW00014732,",,W,2400",31.7
2021-06-27,TMIN,GHCND:USW00014732,",,W,2400",23.3
2021-06-28,TMAX,GHCND:USW00014732,",,W,2400",35.6
2021-06-28,TMIN,GHCND:USW00014732,",,W,2400",25.0
2021-06-29,TMAX,GHCND:USW00014732,",,W,2400",36.7
2021-06-29,TMIN,GHCND:USW00014732,",,W,2400",27.2
2021-06-30,TMAX,GHCND:USW00014732,",,W,2400",37.8
2021-06-30,TMIN,GHCND:USW00014732,",,W,2400",22.8
2021-07-01,TMAX,GHCND:USW00014732,",,W,2400",30.0
2021-07-01,TMIN,GHCND:USW00014732,",,W,2400",22.8
2021-07-02,TMAX,GHCND:USW00014732,",,W,2400",25.6
2021-07-02,TMIN,GHCND:USW00014732,",,W,2400",17.2
2021-07-03,TMAX,GHCND:USW00014732,",,W,2400",19.4
2021-07-03,TMIN,GHCND:USW00014732,",,W,2400",15.6
2021-07-04,TMAX,GHCND:USW00014732,",,W,2400",26.1
2021-07-04,TMIN,GHCND:USW00014732,",,W,2400",16.7
2021-07-05,TMAX,GHCND:USW00014732,",,W,2400",28.9
2021-07-05,TMIN,GHCND:USW00014732,",,W,2400",19.4
2021-07-06,TMAX,GHCND:USW00014732,",,W,2400",35.6
2021-07-06,TMIN,GHCND:USW00014732,",,W,2400",22.8
2021-07-07,TMAX,GHCND:USW00014732,",,W,2400",35.6
2021-07-07,TMIN,GHCND:USW00014732,",,W,2400",23.3
2021-07-08,TMAX,GHCND:USW00014732,",,W,2400",29.4
2021-07-08,TMIN,GHCND:USW00014732,",,W,2400",22.2
2021-07-09,TMAX,GHCND:USW00014732,",,W,2400",31.7
2021-07-09,TMIN,GHCND:USW00014732,",,W,2400",22.2
2021-07-10,TMAX,GHCND:USW00014732,",,W,2400",27.2
2021-07-10,TMIN,GHCND:USW00014732,",,W,2400",22.2
2021-07-11,TMAX,GHCND:USW00014732,",,W,2400",27.8
2021-07-11,TMIN,GHCND:USW00014732,",,W,2400",22.2
2021-07-12,TMAX,GHCND:USW00014732,",,W,2400",27.8
2021-07-12,TMIN,GHCND:USW00014732,",,W,2400",22.8
2021-07-13,TMAX,GHCND:USW00014732,",,W,2400",22.8
2021-07-13,TMIN,GHCND:USW00014732,",,W,2400",20.6
2021-07-14,TMAX,GHCND:USW00014732,",,W,2400",32.8
2021-07-14,TMIN,GHCND:USW00014732,",,W,2400",21.1
2021-07-15,TMAX,GHCND:USW00014732,",,W,2400",32.8
2021-07-15,TMIN,GHCND:USW00014732,",,W,2400",24.4
2021-07-16,TMAX,GHCND:USW00014732,",,W,2400",35.0
2021-07-16,TMIN,GHCND:USW00014732,",,W,2400",27.2
2021-07-17,TMAX,GHCND:USW00014732,",,W,2400",32.8
2021-07-17,TMIN,GHCND:USW00014732,",,W,2400",23.3
2021-07-18,TMAX,GHCND:USW00014732,",,W,2400",30.0
2021-07-18,TMIN,GHCND:USW00014732,",,W,2400",23.3
2021-07-19,TMAX,GHCND:USW00014732,",,W,2400",27.8
2021-07-19,TMIN,GHCND:USW00014732,",,W,2400",21.7
2021-07-20,TMAX,GHCND:USW00014732,",,W,2400",31.7
2021-07-20,TMIN,GHCND:USW00014732,",,W,2400",23.9
2021-07-21,TMAX,GHCND:USW00014732,",,W,2400",28.3
2021-07-21,TMIN,GHCND:USW00014732,",,W,2400",22.2
2021-07-22,TMAX,GHCND:USW00014732,",,W,2400",28.3
2021-07-22,TMIN,GHCND:USW00014732,",,W,2400",20.0
