Airport.Code,City,State,Airport,Month,MonthNumber,Quarter,Year,Date,Carrier Delays Count,Late Aircraft Delays Count,National Aviation System Delays Count,Security Delays Count,Weather Delays Count,Carriers.Total,Flights Cancelled Count,Flights Delayed Count,Flights Diverted Count,Flights On Time Count,Flights Total Count,Minutes Delayed Carrier,Minutes Delayed Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed Security,Minutes Delayed Weather,Minutes Delayed Total
DEN,Denver, CO, Denver International,January,1,Q1,2004,37987,850,638,930,14,171,14,226,2603,8,9882,12719,43024,42507,29265,420,12934,128150
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,January,1,Q1,2004,37987,1078,1439,2752,17,413,14,572,5696,73,22974,29315,72199,75240,95720,489,30401,274049
DTW,Detroit, MI, Detroit Metro Wayne County,January,1,Q1,2004,37987,629,542,1272,19,103,13,341,2566,11,8982,11900,36659,30530,39811,749,6630,114379
EWR,Newark, NJ, Newark Liberty International,January,1,Q1,2004,37987,439,642,1729,3,120,14,548,2930,13,9260,12751,27719,38714,91114,83,8432,166062
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,January,1,Q1,2004,37987,353,376,544,6,59,13,27,1340,7,4044,5418,16659,23331,20720,248,3358,64316
IAD,Washington, DC, Washington Dulles International,January,1,Q1,2004,37987,454,505,378,2,72,15,279,1411,6,6937,8633,26182,35068,13003,116,4388,78757
JFK,New York, NY, John F. Kennedy International,January,1,Q1,2004,37987,430,501,600,10,60,12,128,1602,20,5076,6826,23856,27078,20789,429,3885,76037
LAS,Las Vegas, NV, McCarran International,January,1,Q1,2004,37987,650,908,965,14,78,15,177,2614,6,9972,12769,31742,43334,31286,559,5167,112088
LAX,Los Angeles, CA, Los Angeles International,January,1,Q1,2004,37987,944,900,1232,18,183,13,359,3272,22,15595,19248,46168,49196,42888,659,11674,150585
LGA,New York, NY, LaGuardia,January,1,Q1,2004,37987,445,568,1482,4,213,12,588,2710,5,7223,10526,23140,35349,66260,309,13558,138616
MCO,Orlando, FL, Orlando International,January,1,Q1,2004,37987,503,518,663,11,87,14,49,1781,3,6673,8506,26598,30542,24337,388,5856,87721
MDW,Chicago, IL, Chicago Midway International,January,1,Q1,2004,37987,224,560,802,8,83,11,225,1681,61,5630,7597,12946,37391,47261,419,7823,105840
MIA,Miami, FL, Miami International,January,1,Q1,2004,37987,344,285,593,0,117,13,70,1339,4,4199,5612,22300,17822,20958,24,6079,67183
MSP,Minneapolis, MN, Minneapolis-St Paul International,January,1,Q1,2004,37987,583,583,1504,16,117,14,274,2804,9,9113,12200,36446,35024,48574,612,7134,127790
ORD,Chicago, IL, Chicago O'Hare International,January,1,Q1,2004,37987,1248,2501,8999,9,318,14,2652,13072,52,16939,32715,91650,196186,602479,307,25015,915637
PDX,Portland, OR, Portland International,January,1,Q1,2004,37987,267,315,319,11,47,10,531,961,34,3147,4673,13642,16089,9872,403,2720,42726
PHL,Philadelphia, PA, Philadelphia International,January,1,Q1,2004,37987,378,601,927,0,63,13,287,1966,17,6932,9202,18879,36651,37871,21,3745,97167
PHX,Phoenix, AZ, Phoenix Sky Harbor International,January,1,Q1,2004,37987,700,786,820,22,89,15,283,2414,12,11563,14272,39593,38470,26371,779,7569,112782
SAN,San Diego, CA, San Diego International,January,1,Q1,2004,37987,404,419,359,8,49,13,102,1242,6,5826,7176,17408,21497,12062,279,2828,54074
SEA,Seattle, WA, Seattle/Tacoma International,January,1,Q1,2004,37987,559,722,812,19,104,13,335,2211,37,6003,8586,31346,44221,28901,765,8382,113615
SFO,San Francisco, CA, San Francisco International,January,1,Q1,2004,37987,640,553,1992,16,113,12,283,3314,19,7130,10746,33575,34315,88998,583,6985,164456
SLC,Salt Lake City, UT, Salt Lake City International,January,1,Q1,2004,37987,1152,593,1157,35,301,12,366,3234,12,7658,11270,49891,28943,47580,1075,18473,145962
TPA,Tampa, FL, Tampa International,January,1,Q1,2004,37987,281,399,375,3,40,12,35,1097,4,4671,5807,13313,21733,14691,103,2338,52178
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,February,2,Q1,2004,38018,1197,1579,7959,13,787,11,921,11538,30,19883,32372,85159,101390,426190,793,56601,670133
BOS,Boston, MA, Logan International,February,2,Q1,2004,38018,358,484,606,3,61,16,164,1509,6,8217,9896,17853,27396,21478,82,3425,70234
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,February,2,Q1,2004,38018,336,543,362,8,44,12,60,1293,8,6855,8216,15032,26385,11531,392,2496,55836
CLT,Charlotte, NC, Charlotte Douglas International,February,2,Q1,2004,38018,232,422,561,0,29,12,167,1244,9,7075,8495,10510,21597,17403,12,2481,52003
DCA,Washington, DC, Ronald Reagan Washington National,February,2,Q1,2004,38018,308,265,384,0,65,15,123,1019,5,6160,7307,13877,13084,12144,13,3684,42802
DEN,Denver, CO, Denver International,February,2,Q1,2004,38018,592,467,605,5,97,14,114,1766,6,10032,11918,26732,24861,16822,125,4833,73373
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,February,2,Q1,2004,38018,905,1437,2664,4,306,14,505,5318,97,21148,27068,61194,81429,101455,132,22091,266301
DTW,Detroit, MI, Detroit Metro Wayne County,February,2,Q1,2004,38018,403,414,790,8,64,13,204,1677,4,9578,11463,23806,19697,22650,218,3336,69707
EWR,Newark, NJ, Newark Liberty International,February,2,Q1,2004,38018,321,555,1613,10,62,14,198,2561,8,9586,12353,16916,30291,70901,293,3352,121753
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,February,2,Q1,2004,38018,331,418,652,3,39,13,12,1446,10,4031,5499,14803,22538,23237,153,2579,63310
IAD,Washington, DC, Washington Dulles International,February,2,Q1,2004,38018,206,444,295,0,17,15,175,963,3,6897,8038,9948,24148,9041,9,1222,44368
JFK,New York, NY, John F. Kennedy International,February,2,Q1,2004,38018,300,288,465,9,43,12,45,1105,3,5416,6569,14207,14576,14274,347,2565,45969
LAS,Las Vegas, NV, McCarran International,February,2,Q1,2004,38018,561,921,1189,8,159,14,135,2839,23,9290,12287,27596,49092,79789,228,14827,171532
LAX,Los Angeles, CA, Los Angeles International,February,2,Q1,2004,38018,811,884,866,13,96,13,253,2672,22,14963,17910,40778,46311,25692,391,4482,117654
LGA,New York, NY, LaGuardia,February,2,Q1,2004,38018,343,496,976,3,116,12,238,1934,13,7868,10053,18626,26390,36969,108,7100,89193
MCO,Orlando, FL, Orlando International,February,2,Q1,2004,38018,502,492,768,7,59,15,24,1826,11,6477,8338,24720,26895,24754,255,3411,80035
MDW,Chicago, IL, Chicago Midway International,February,2,Q1,2004,38018,213,470,443,12,30,11,130,1167,14,5930,7241,9594,21756,14782,402,2499,49033
MIA,Miami, FL, Miami International,February,2,Q1,2004,38018,347,261,565,4,54,13,26,1233,5,4092,5356,18196,15397,19465,271,3160,56489
MSP,Minneapolis, MN, Minneapolis-St Paul International,February,2,Q1,2004,38018,495,527,1543,14,84,13,225,2660,19,8841,11745,34162,27235,47913,369,6610,116289
ORD,Chicago, IL, Chicago O'Hare International,February,2,Q1,2004,38018,807,2205,6081,6,163,14,984,9260,19,20707,30970,54850,119915,284171,285,10721,469942
PDX,Portland, OR, Portland International,February,2,Q1,2004,38018,177,263,209,13,26,10,60,690,7,3558,4315,8159,13187,5656,594,1350,28946
PHL,Philadelphia, PA, Philadelphia International,February,2,Q1,2004,38018,280,518,728,0,44,13,165,1572,7,6901,8645,14541,28677,29386,13,2747,75364
PHX,Phoenix, AZ, Phoenix Sky Harbor International,February,2,Q1,2004,38018,633,874,1107,13,61,15,177,2689,11,10775,13652,30060,45446,33662,293,3789,113250
SAN,San Diego, CA, San Diego International,February,2,Q1,2004,38018,339,416,302,4,38,13,65,1100,9,5451,6625,13578,21643,8203,100,1656,45180
SEA,Seattle, WA, Seattle/Tacoma International,February,2,Q1,2004,38018,340,534,411,21,26,13,112,1334,10,6558,8014,17872,28071,11569,801,1341,59654
SFO,San Francisco, CA, San Francisco International,February,2,Q1,2004,38018,463,388,1447,12,53,12,205,2366,11,7445,10027,24105,23815,83200,367,3122,134609
SLC,Salt Lake City, UT, Salt Lake City International,February,2,Q1,2004,38018,813,492,737,31,163,12,193,2237,7,8348,10785,31530,23213,29110,844,10510,95207
TPA,Tampa, FL, Tampa International,February,2,Q1,2004,38018,300,437,468,4,36,13,11,1250,10,4441,5712,13001,22883,14948,119,2147,53102
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,March,3,Q1,2004,38047,1068,912,3195,7,227,11,255,5408,33,29114,34810,62652,45578,109620,367,11812,230029
BOS,Boston, MA, Logan International,March,3,Q1,2004,38047,374,578,983,6,35,16,263,1974,5,8679,10921,19995,35581,35109,159,2249,93093
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,March,3,Q1,2004,38047,413,589,406,7,16,14,44,1440,0,7413,8897,18883,28476,12750,153,945,61211
CLT,Charlotte, NC, Charlotte Douglas International,March,3,Q1,2004,38047,223,437,402,0,12,11,81,1074,2,7982,9139,9703,21748,10934,2,623,43010
DCA,Washington, DC, Ronald Reagan Washington National,March,3,Q1,2004,38047,318,296,428,1,41,15,105,1089,3,6732,7929,14998,17135,12554,109,2600,47396
DEN,Denver, CO, Denver International,March,3,Q1,2004,38047,525,412,453,9,39,14,80,1439,6,11354,12879,26013,24114,12754,187,2453,65521
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,March,3,Q1,2004,38047,778,943,1477,12,161,14,401,3370,78,25536,29385,49006,49191,52376,422,12102,163097
DTW,Detroit, MI, Detroit Metro Wayne County,March,3,Q1,2004,38047,506,504,1159,3,58,13,160,2227,12,10208,12607,26953,26959,31815,328,3057,89112
EWR,Newark, NJ, Newark Liberty International,March,3,Q1,2004,38047,335,622,2555,10,104,14,376,3629,48,9666,13719,22051,39441,141487,335,8913,212227
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,March,3,Q1,2004,38047,323,377,490,7,29,13,23,1222,7,4819,6071,14755,20138,22335,203,1826,59257
IAD,Washington, DC, Washington Dulles International,March,3,Q1,2004,38047,220,462,390,6,11,15,120,1090,1,7584,8795,11633,27266,11599,158,605,51261
JFK,New York, NY, John F. Kennedy International,March,3,Q1,2004,38047,335,350,828,16,23,12,69,1552,19,5415,7055,18296,16691,25416,407,1391,62201
LAS,Las Vegas, NV, McCarran International,March,3,Q1,2004,38047,557,929,730,8,56,14,84,2281,12,11069,13446,26017,43783,24984,196,3241,98221
LAX,Los Angeles, CA, Los Angeles International,March,3,Q1,2004,38047,818,877,744,11,104,13,228,2556,9,16704,19497,41916,43437,23359,321,5183,114216
LGA,New York, NY, LaGuardia,March,3,Q1,2004,38047,386,464,1394,1,127,12,368,2375,84,8095,10922,20996,27510,61368,58,10980,120912
MCO,Orlando, FL, Orlando International,March,3,Q1,2004,38047,435,490,433,12,43,15,14,1410,5,7698,9127,19883,25660,13564,332,3522,62961
MDW,Chicago, IL, Chicago Midway International,March,3,Q1,2004,38047,242,529,612,7,36,11,90,1426,18,6278,7812,10600,23892,21415,159,2174,58240
MIA,Miami, FL, Miami International,March,3,Q1,2004,38047,260,216,359,6,33,13,14,874,9,4894,5791,15093,12572,11440,424,2120,41649
MSP,Minneapolis, MN, Minneapolis-St Paul International,March,3,Q1,2004,38047,534,527,1393,10,60,14,209,2521,28,10126,12884,32832,28248,39412,366,3149,104007
ORD,Chicago, IL, Chicago O'Hare International,March,3,Q1,2004,38047,841,2491,7894,8,180,14,1085,11414,42,20676,33217,70734,187152,531283,314,12257,801740
PDX,Portland, OR, Portland International,March,3,Q1,2004,38047,205,265,210,5,12,10,62,697,4,3988,4751,11749,13552,6147,119,1216,32783
PHL,Philadelphia, PA, Philadelphia International,March,3,Q1,2004,38047,296,542,1116,1,34,14,125,1990,16,7144,9275,14947,33682,42910,12,1943,93494
PHX,Phoenix, AZ, Phoenix Sky Harbor International,March,3,Q1,2004,38047,614,817,662,7,44,15,138,2143,24,12405,14710,32847,38761,21507,154,2591,95860
SAN,San Diego, CA, San Diego International,March,3,Q1,2004,38047,355,392,302,3,38,13,59,1091,15,6038,7203,14681,17453,9738,79,1889,43840
SEA,Seattle, WA, Seattle/Tacoma International,March,3,Q1,2004,38047,425,554,591,14,27,14,77,1611,7,7088,8783,22975,30125,17695,376,1542,72713
SFO,San Francisco, CA, San Francisco International,March,3,Q1,2004,38047,433,364,794,5,53,12,117,1652,16,9228,11013,20728,21369,34499,130,3036,79762
SLC,Salt Lake City, UT, Salt Lake City International,March,3,Q1,2004,38047,500,325,362,13,39,12,79,1240,3,10224,11546,22827,15915,10837,346,2637,52562
TPA,Tampa, FL, Tampa International,March,3,Q1,2004,38047,290,385,252,3,18,11,10,947,2,5291,6250,12778,19218,8020,68,1053,41137
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,April,4,Q2,2004,38078,1007,924,3550,14,209,11,264,5704,29,28029,34026,61697,46890,122793,722,11253,243355
BOS,Boston, MA, Logan International,April,4,Q2,2004,38078,399,529,753,1,21,16,106,1704,3,9002,10815,23415,30577,23464,136,1310,78902
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,April,4,Q2,2004,38078,363,648,398,6,34,12,20,1448,4,7218,8690,16239,29634,13188,208,2483,61752
CLT,Charlotte, NC, Charlotte Douglas International,April,4,Q2,2004,38078,237,388,467,0,14,11,42,1105,7,7699,8853,11896,18170,14436,0,639,45141
DCA,Washington, DC, Ronald Reagan Washington National,April,4,Q2,2004,38078,294,285,383,3,47,15,62,1013,7,6609,7691,13316,13444,12435,80,3295,42570
DEN,Denver, CO, Denver International,April,4,Q2,2004,38078,490,364,523,7,52,14,74,1435,19,10998,12526,22137,19070,14320,195,3978,59700
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,April,4,Q2,2004,38078,700,777,1396,11,217,14,249,3096,28,25220,28593,47674,39817,45936,627,12371,146425
DTW,Detroit, MI, Detroit Metro Wayne County,April,4,Q2,2004,38078,422,383,768,8,54,13,117,1637,8,10632,12394,23302,18546,22514,234,2805,67401
EWR,Newark, NJ, Newark Liberty International,April,4,Q2,2004,38078,355,655,2336,10,108,14,142,3463,14,9604,13223,24416,39848,133120,394,7905,205683
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,April,4,Q2,2004,38078,309,374,617,7,22,13,6,1330,10,4561,5907,14294,21896,25176,315,1422,63103
IAD,Washington, DC, Washington Dulles International,April,4,Q2,2004,38078,222,430,663,0,19,15,68,1339,11,7316,8734,10786,25659,25394,30,1329,63198
JFK,New York, NY, John F. Kennedy International,April,4,Q2,2004,38078,357,297,819,16,28,12,29,1513,19,5683,7244,19527,15530,28778,548,1757,66140
LAS,Las Vegas, NV, McCarran International,April,4,Q2,2004,38078,528,875,847,10,74,14,63,2335,11,10471,12880,24357,42227,35735,304,4998,107621
LAX,Los Angeles, CA, Los Angeles International,April,4,Q2,2004,38078,775,813,802,11,53,14,113,2460,18,16362,18953,33578,38217,23257,391,2444,97891
LGA,New York, NY, LaGuardia,April,4,Q2,2004,38078,324,451,1385,1,118,12,174,2277,23,8222,10696,17630,24983,68036,24,7139,117812
MCO,Orlando, FL, Orlando International,April,4,Q2,2004,38078,423,513,684,4,43,15,7,1664,10,7272,8953,19955,26860,21024,250,2666,70755
MDW,Chicago, IL, Chicago Midway International,April,4,Q2,2004,38078,235,479,412,7,15,11,34,1150,2,6402,7588,10539,22669,11835,258,961,46262
MIA,Miami, FL, Miami International,April,4,Q2,2004,38078,223,160,464,0,20,13,11,868,16,4639,5534,13902,10253,16537,6,1043,41741
MSP,Minneapolis, MN, Minneapolis-St Paul International,April,4,Q2,2004,38078,380,300,802,8,84,13,128,1574,42,10359,12103,30054,15967,31116,267,9692,87096
ORD,Chicago, IL, Chicago O'Hare International,April,4,Q2,2004,38078,728,1483,5346,2,129,14,456,7690,17,23928,32091,46434,84864,274465,139,9365,415267
PDX,Portland, OR, Portland International,April,4,Q2,2004,38078,185,233,157,4,8,10,45,587,2,3978,4612,9415,10944,4691,106,501,25657
PHL,Philadelphia, PA, Philadelphia International,April,4,Q2,2004,38078,315,448,1138,0,33,13,65,1935,12,7037,9049,16159,25826,45512,0,1804,89301
PHX,Phoenix, AZ, Phoenix Sky Harbor International,April,4,Q2,2004,38078,549,782,607,9,43,15,150,1991,20,11957,14118,29035,35767,17709,422,2387,85320
SAN,San Diego, CA, San Diego International,April,4,Q2,2004,38078,363,377,250,5,28,13,40,1019,28,5870,6957,14727,17393,7763,111,1642,41636
