Airport.Code,City,State,Airport,Month,MonthNumber,Quarter,Year,Date,Carrier Delays Count,Late Aircraft Delays Count,National Aviation System Delays Count,Security Delays Count,Weather Delays Count,Carriers.Total,Flights Cancelled Count,Flights Delayed Count,Flights Diverted Count,Flights On Time Count,Flights Total Count,Minutes Delayed Carrier,Minutes Delayed Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed Security,Minutes Delayed Weather,Minutes Delayed Total
PHX,Phoenix, AZ, Phoenix Sky Harbor International,October,10,Q4,2015,42278,544,567,442,2,28,10,37,1585,11,11299,12932,31896,30144,15249,82,1908,79279
SAN,San Diego, CA, San Diego International,October,10,Q4,2015,42278,245,263,141,2,12,11,17,661,5,5524,6207,12002,15836,5121,61,955,33975
SEA,Seattle, WA, Seattle/Tacoma International,October,10,Q4,2015,42278,317,434,670,2,30,10,24,1453,11,8897,10385,17825,25023,20944,108,1874,65774
SFO,San Francisco, CA, San Francisco International,October,10,Q4,2015,42278,510,753,792,0,39,10,74,2096,13,11987,14170,33326,50740,41157,2,2948,128173
SLC,Salt Lake City, UT, Salt Lake City International,October,10,Q4,2015,42278,234,257,150,1,10,8,20,652,7,8085,8764,15522,14155,4317,40,1765,35799
TPA,Tampa, FL, Tampa International,October,10,Q4,2015,42278,247,187,169,1,6,8,13,609,3,4523,5148,12327,12032,7119,24,490,31992
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,November,11,Q4,2015,42309,1112,1420,1457,9,61,10,58,4060,26,26759,30903,95024,84231,46457,576,5921,232209
BOS,Boston, MA, Logan International,November,11,Q4,2015,42309,487,439,418,3,22,10,50,1370,6,8037,9463,25700,28985,14862,184,1860,71591
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,November,11,Q4,2015,42309,341,437,249,3,13,9,36,1044,9,6799,7888,18545,22338,7429,125,733,49170
CLT,Charlotte, NC, Charlotte Douglas International,November,11,Q4,2015,42309,374,287,356,1,23,9,39,1044,10,8092,9185,23108,17043,10633,28,2013,52825
DCA,Washington, DC, Ronald Reagan Washington National,November,11,Q4,2015,42309,310,256,330,2,32,11,46,928,6,5500,6480,16965,16046,10076,259,2735,46081
DEN,Denver, CO, Denver International,November,11,Q4,2015,42309,751,1031,1197,1,93,9,238,3076,21,13785,17120,54704,69918,50919,63,9509,185113
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,November,11,Q4,2015,42309,832,1067,974,6,139,10,234,3019,123,16167,19543,77554,79651,41310,214,13642,212371
DTW,Detroit, MI, Detroit Metro Wayne County,November,11,Q4,2015,42309,346,400,339,4,20,11,64,1111,6,8680,9861,27909,26174,12616,139,2123,68961
EWR,Newark, NJ, Newark Liberty International,November,11,Q4,2015,42309,370,491,1058,4,38,9,130,1959,27,7178,9294,25426,40077,63533,245,2987,132268
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,November,11,Q4,2015,42309,355,299,293,2,14,9,26,963,4,5712,6705,18282,17525,10421,81,1379,47688
IAD,Washington, DC, Washington Dulles International,November,11,Q4,2015,42309,134,106,65,1,15,10,12,320,1,2351,2684,8017,9193,2183,36,901,20330
JFK,New York, NY, John F. Kennedy International,November,11,Q4,2015,42309,361,314,436,7,24,7,55,1144,6,6540,7745,21923,21748,25379,685,3300,73035
LAS,Las Vegas, NV, McCarran International,November,11,Q4,2015,42309,519,727,669,1,50,11,55,1967,3,9879,11904,27147,37600,25059,106,3872,93784
LAX,Los Angeles, CA, Los Angeles International,November,11,Q4,2015,42309,835,928,1108,11,73,11,104,2953,23,13383,16463,48325,60235,34757,560,5169,149046
LGA,New York, NY, LaGuardia,November,11,Q4,2015,42309,434,340,737,5,45,11,105,1562,35,6231,7933,26060,20408,37887,213,3440,88008
MCO,Orlando, FL, Orlando International,November,11,Q4,2015,42309,501,423,378,5,25,10,35,1331,13,8509,9888,30743,28597,13229,278,2209,75056
MDW,Chicago, IL, Chicago Midway International,November,11,Q4,2015,42309,207,329,195,1,69,4,132,801,54,5929,6916,11626,17432,9368,36,7087,45549
MIA,Miami, FL, Miami International,November,11,Q4,2015,42309,300,222,281,7,22,6,16,831,12,5042,5901,19824,16934,10214,348,2652,49972
MSP,Minneapolis, MN, Minneapolis-St Paul International,November,11,Q4,2015,42309,400,516,545,4,50,10,39,1511,9,8254,9813,37500,30525,17684,519,3479,89707
ORD,Chicago, IL, Chicago O'Hare International,November,11,Q4,2015,42309,838,1287,1724,7,110,11,875,3962,115,21111,26063,72305,101335,150030,317,14731,338718
PDX,Portland, OR, Portland International,November,11,Q4,2015,42309,175,223,138,2,14,11,8,552,16,3813,4389,10491,13301,4350,81,1173,29396
