Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Kenya,903,Africa,910,Eastern Africa,902,Less developed regions,592,657,601,710,753,735,719,698,773,910,1297,1185,953,1065,1017,1419,1666,1387,1693,1407,2197,2501,3199,3209,5335,5347,8779,7030,6998,9880,7421,7762,7043,6123
Immigrants,Foreigners,Kiribati,909,Oceania,954,Micronesia,902,Less developed regions,..,..,8,7,0,0,3,6,3,4,5,13,15,4,4,5,..,..,4,0,3,0,..,4,..,4,8,10,4,10,6,D,6,3
Immigrants,Foreigners,Kuwait,935,Asia,922,Western Asia,902,Less developed regions,257,317,286,344,437,503,496,507,599,710,691,861,989,1129,1065,961,1202,836,747,801,1015,1258,1056,707,1091,1152,1230,1017,1104,1124,1037,973,1044,937
Immigrants,Foreigners,Kyrgyzstan,935,Asia,5500,Central Asia,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,134,124,226,209,280,287,111,189,388,582,473,356,439,656,785,597,632,574,507,542,648,652
Immigrants,Foreigners,Lao People's Democratic Republic,935,Asia,920,South-Eastern Asia,902,Less developed regions,13970,15805,36528,23662,12279,9133,7842,6828,10667,12524,10446,9950,8696,7285,5089,3936,2843,1933,1606,846,1358,1398,1245,896,1147,1242,2892,2575,2198,1688,1200,956,949,923
Immigrants,Foreigners,Latvia,908,Europe,924,Northern Europe,901,More developed regions,54,39,45,31,37,25,26,23,31,57,45,86,419,668,762,651,736,615,369,444,548,711,683,458,605,768,892,568,455,444,435,426,436,424
Immigrants,Foreigners,Lebanon,935,Asia,922,Western Asia,902,Less developed regions,4136,3955,3529,2941,3203,3385,3994,4367,4910,5716,5634,6009,5838,5465,4319,3884,4380,3567,3283,3033,3662,4579,3935,2956,3818,4282,4083,4267,4254,3831,3487,3295,2879,2783
Immigrants,Foreigners,Lesotho,903,Africa,913,Southern Africa,902,Less developed regions,5,7,6,8,2,6,16,7,7,8,16,4,15,5,8,10,11,6,4,5,9,6,13,5,14,12,18,14,16,14,23,25,17,20
Immigrants,Foreigners,Liberia,903,Africa,914,Western Africa,902,Less developed regions,426,556,593,518,585,618,618,622,769,1175,2004,1292,999,1050,1762,1929,2205,2210,1611,1351,1570,2273,2869,1766,2757,4880,6887,4102,7193,7641,4837,4151,4109,3334
Immigrants,Foreigners,Libya,903,Africa,912,Northern Africa,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,185,223,271,186,285,296,355,357,315,376
Immigrants,Foreigners,Liechtenstein,908,Europe,926,Western Europe,901,More developed regions,5,3,3,4,3,1,2,4,1,4,3,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Lithuania,908,Europe,924,Northern Europe,901,More developed regions,61,44,50,41,45,39,49,37,47,63,67,157,353,529,663,767,1080,812,1191,1147,1349,1732,1786,2266,2480,2417,1885,1361,967,1069,985,936,924,854
Immigrants,Foreigners,Luxembourg,908,Europe,926,Western Europe,901,More developed regions,23,18,26,29,19,17,24,26,28,16,31,21,25,14,24,15,32,28,21,11,26,34,32,16,13,35,28,39,28,30,22,24,19,40
Immigrants,Foreigners,Madagascar,903,Africa,910,Eastern Africa,902,Less developed regions,19,20,19,22,22,25,16,21,24,23,37,23,41,32,27,42,43,33,42,26,33,61,43,40,54,60,72,53,77,71,80,83,79,95
Immigrants,Foreigners,Malawi,903,Africa,910,Eastern Africa,902,Less developed regions,30,46,48,44,37,30,32,49,53,84,48,68,72,53,55,56,58,72,39,41,61,70,56,62,83,131,131,123,133,164,164,123,192,159
Immigrants,Foreigners,Malaysia,935,Asia,920,South-Eastern Asia,902,Less developed regions,795,1033,1046,852,879,939,886,1016,1250,1506,1867,1860,2235,2026,1480,1223,1414,1051,1010,991,1551,2439,2124,1200,1987,2632,2281,2149,1945,2014,1714,2273,2605,2477
Immigrants,Foreigners,Maldives,935,Asia,5501,Southern Asia,902,Less developed regions,2,1,1,1,0,0,0,0,0,0,0,..,0,..,0,..,..,..,..,0,..,9,9,15,7,6,..,9,..,6,..,..,..,..
Immigrants,Foreigners,Mali,903,Africa,914,Western Africa,902,Less developed regions,13,7,5,3,6,7,11,13,20,18,34,63,55,51,55,94,124,97,83,72,109,119,105,124,163,277,408,412,523,576,528,629,734,667
Immigrants,Foreigners,Malta,908,Europe,925,Southern Europe,901,More developed regions,192,168,137,131,92,148,135,113,112,74,77,83,85,52,75,72,51,54,58,43,54,57,44,37,57,74,70,53,66,58,74,51,62,43
Immigrants,Foreigners,Marshall Islands,909,Oceania,954,Micronesia,902,Less developed regions,..,..,0,0,0,0,0,0,0,5,..,..,4,..,..,5,3,3,6,3,3,..,26,26,48,32,53,48,39,48,37,38,50,46
Immigrants,Foreigners,Martinique,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,40,39,26,31,30,25,18,34,25,30,..,25,25,17,..,..,23,20,20,23,20,22,19,14,26,37,30,23,24,24,15,..,..,..
Immigrants,Foreigners,Mauritania,903,Africa,914,Western Africa,902,Less developed regions,4,2,6,2,7,0,2,7,2,9,..,9,..,9,10,22,26,51,78,24,88,117,124,131,170,275,720,651,844,597,495,393,410,354
Immigrants,Foreigners,Mauritius,903,Africa,910,Eastern Africa,902,Less developed regions,38,45,28,37,60,45,60,36,47,56,67,64,61,83,65,67,84,44,37,38,54,84,83,57,65,99,108,88,83,110,84,101,77,83
Immigrants,Foreigners,Mexico,904,Latin America and the Caribbean,916,Central America,902,Less developed regions,56680,101268,56106,59079,57557,61077,66533,72351,95039,405172,679068,946167,213802,126561,111398,89932,163556,146833,131353,147402,173493,205560,218822,115585,175411,161445,173749,148640,189989,164920,139120,143446,146406,135028
Immigrants,Foreigners,Micronesia (Federated States of),909,Oceania,954,Micronesia,902,Less developed regions,..,..,0,0,0,0,0,0,0,8,7,6,11,11,7,7,..,..,4,..,5,9,..,4,5,6,12,7,13,16,10,9,13,4
Immigrants,Foreigners,Monaco,908,Europe,926,Western Europe,901,More developed regions,11,15,11,5,2,5,9,4,4,..,..,5,4,0,..,..,4,4,6,5,12,9,17,..,7,7,..,6,7,4,12,6,5,8
Immigrants,Foreigners,Mongolia,935,Asia,906,Eastern Asia,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21,17,17,22,26,41,46,102,135,153,229,323,497,530,659,831,594,774,691,729
Immigrants,Foreigners,Montenegro,908,Europe,925,Southern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120,204,265,265
Immigrants,Foreigners,Montserrat,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,176,191,148,164,80,117,147,104,104,124,172,143,104,102,69,83,99,97,65,80,70,61,42,36,33,50,90,66,61,43,27,30,27,-
Immigrants,Foreigners,Morocco,903,Africa,912,Northern Africa,902,Less developed regions,465,512,445,479,506,570,646,635,715,984,1200,1601,1316,1176,1074,1726,1782,2358,2402,2970,3614,4958,3387,3137,4128,4411,4949,4513,4425,5447,5013,4399,3656,3336
Immigrants,Foreigners,Mozambique,903,Africa,910,Eastern Africa,902,Less developed regions,81,85,57,48,60,43,53,74,68,81,100,74,54,56,44,50,59,48,39,31,41,48,54,36,59,54,78,81,69,66,53,60,94,73
Immigrants,Foreigners,Myanmar,935,Asia,920,South-Eastern Asia,902,Less developed regions,1211,1083,820,723,719,990,863,941,803,1170,1120,946,816,849,938,1233,1320,1084,1370,1200,1201,1373,1356,1193,1379,2095,4562,3130,3403,13621,12925,16518,17383,12565
Immigrants,Foreigners,Namibia,903,Africa,913,Southern Africa,902,Less developed regions,23,24,19,21,19,21,17,10,25,26,23,14,29,37,24,35,30,22,24,13,30,54,46,40,40,63,56,57,46,53,60,43,59,57
Immigrants,Foreigners,Nauru,909,Oceania,954,Micronesia,902,Less developed regions,..,..,1,0,0,0,2,4,0,7,6,..,..,..,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Nepal,935,Asia,5501,Southern Asia,902,Less developed regions,98,83,97,105,75,63,86,78,106,134,184,174,212,257,257,312,431,447,476,453,616,945,1137,2095,2878,3158,3733,3472,4093,4514,7115,10166,11312,13046
Immigrants,Foreigners,Netherlands,908,Europe,926,Western Europe,901,More developed regions,1169,999,1053,1152,1242,1217,1261,1230,1187,1193,1424,1283,1586,1430,1239,1196,1423,1059,914,773,1337,1679,1549,981,1303,1815,1651,1368,1240,1499,1321,1085,1091,1142
Immigrants,Foreigners,New Caledonia,909,Oceania,928,Melanesia,902,Less developed regions,..,..,3,2,0,0,2,11,4,7,8,3,8,..,7,3,11,..,..,..,..,..,..,..,..,..,..,..,..,13,6,5,D,6
Immigrants,Foreigners,New Zealand,909,Oceania,927,Australia and New Zealand,901,More developed regions,729,666,642,606,595,679,610,591,668,789,829,793,967,1052,918,727,800,655,625,522,964,1205,1117,877,1131,1293,1100,1047,893,947,919,803,814,921
Immigrants,Foreigners,Nicaragua,904,Latin America and the Caribbean,916,Central America,902,Less developed regions,2337,2752,3077,2983,2718,2786,2826,3294,3311,8830,11562,17842,8949,7086,5255,4408,6901,6327,3511,13327,20947,19634,10659,4094,4009,3305,4145,3716,3614,4137,3565,3401,3046,3048
Immigrants,Foreigners,Niger,903,Africa,914,Western Africa,902,Less developed regions,14,11,3,29,203,51,5,15,3,7,3,..,..,4,8,10,102,837,282,12,30,1330,1263,808,62,126,116,97,107,183,96,96,48,37
Immigrants,Foreigners,Nigeria,903,Africa,914,Western Africa,902,Less developed regions,1896,1918,2257,2354,2337,2846,2976,3278,3343,5213,8843,7912,4551,4448,3950,6818,10219,7031,7730,6742,7831,8253,8105,7872,9374,10597,13459,12448,12475,15253,13376,11824,13575,13840
Immigrants,Foreigners,Niue,909,Oceania,957,Polynesia,902,Less developed regions,0,0,1,8,0,0,0,0,1,0,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Northern Mariana Islands,909,Oceania,954,Micronesia,902,Less developed regions,..,..,0,0,0,0,0,0,0,..,5,6,3,3,0,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Norway,908,Europe,924,Northern Europe,901,More developed regions,403,331,342,409,375,361,354,326,397,482,524,486,665,608,459,420,478,372,296,307,459,547,431,320,405,423,481,343,350,407,334,339,276,335
Immigrants,Foreigners,Oman,935,Asia,922,Western Asia,902,Less developed regions,20,18,13,15,7,7,11,11,7,18,..,5,24,21,32,31,25,36,25,40,51,55,61,76,122,101,155,103,70,74,63,60,74,73
Immigrants,Foreigners,Pakistan,935,Asia,5501,Southern Asia,902,Less developed regions,4265,5288,4536,4807,5509,5744,5994,6319,5438,8000,9729,20355,10214,8927,8698,9774,12516,12959,13083,13485,14504,16393,13694,9415,12086,14926,17418,13492,19719,21555,18258,15546,14740,13251
Immigrants,Foreigners,Palau,909,Oceania,954,Micronesia,902,Less developed regions,..,..,0,0,0,0,0,0,0,36,84,70,47,42,21,9,9,8,6,..,3,..,10,8,6,8,8,11,6,16,18,7,10,16
Immigrants,Foreigners,Panama,904,Latin America and the Caribbean,916,Central America,902,Less developed regions,3572,4613,3320,2546,2276,2611,2194,2084,2486,3482,3433,4204,2845,2679,2378,2247,2559,1979,1637,1640,1829,1867,1680,1164,1417,1815,2418,1916,1678,1806,1536,1374,1281,1234
Immigrants,Foreigners,Papua New Guinea,909,Oceania,928,Melanesia,902,Less developed regions,..,..,13,11,0,0,16,15,18,9,14,20,17,15,22,13,17,15,10,14,21,26,26,34,19,44,30,31,15,19,30,20,21,27
Immigrants,Foreigners,Paraguay,904,Latin America and the Caribbean,931,South America,902,Less developed regions,181,153,161,187,167,170,190,291,483,529,704,538,514,668,789,559,615,304,275,216,338,401,356,207,328,516,719,545,481,530,467,500,467,448
Immigrants,Foreigners,Peru,904,Latin America and the Caribbean,931,South America,902,Less developed regions,4021,4664,4151,4384,4368,4181,4895,5901,5936,10175,15726,16237,9868,10447,9177,8066,12869,10843,10141,8414,9579,11062,11918,9409,11794,15676,21718,17699,15184,16957,14247,14064,12609,12564
Immigrants,Foreigners,Philippines,935,Asia,920,South-Eastern Asia,902,Less developed regions,42316,43772,45102,41546,42768,47978,52558,50060,50697,57034,63756,63596,61022,63457,53535,50984,55868,49102,34416,30943,42343,52919,51040,45250,57846,60746,74606,72596,54030,60029,58173,57011,57327,54446
Immigrants,Foreigners,Poland,908,Europe,923,Eastern Europe,901,More developed regions,4725,5014,5874,6427,9466,9464,8481,7519,9507,15101,20537,19199,25504,27846,28048,13824,15766,12035,8451,8773,10090,11769,12711,10510,14326,15351,17051,10355,8354,8754,7643,6863,6300,6430
Immigrants,Foreigners,Portugal,908,Europe,925,Southern Europe,901,More developed regions,8408,7049,3510,3231,3779,3781,3766,3912,3199,3758,4035,4524,2748,2081,2169,2615,2977,1660,1529,1058,1343,1609,1313,808,1069,1125,1409,1019,772,946,755,821,811,918
Immigrants,Foreigners,Puerto Rico,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,0,1,2,1,3,1,0,0,0,..,..,5,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Qatar,935,Asia,922,Western Asia,902,Less developed regions,16,22,13,19,17,28,41,30,39,49,33,56,59,88,51,60,79,70,60,78,97,125,108,72,125,174,226,138,151,134,148,193,141,191
Immigrants,Foreigners,Republic of Korea,935,Asia,906,Eastern Asia,902,Less developed regions,32320,32663,31724,33339,33042,35253,35776,35849,34703,34222,32301,26518,19359,18026,16011,16047,18179,14226,14222,12795,15721,20532,20724,12382,19766,26562,24386,22405,26666,25859,22227,22824,20846,23166
Immigrants,Foreigners,Republic of Moldova,908,Europe,923,Eastern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,1705,2646,2260,1856,1848,1347,562,753,1251,2068,2103,1151,1507,3506,3036,1356,1692,2295,1981,2258,2021,2485
Immigrants,Foreigners,Réunion,903,Africa,910,Eastern Africa,902,Less developed regions,0,1,1,2,0,0,0,0,0,..,0,0,..,3,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Romania,908,Europe,923,Eastern Europe,901,More developed regions,1913,1974,3124,2543,4004,5188,5198,3837,3875,4573,4647,8096,6500,5601,3444,4871,5799,5545,5104,5678,6863,6628,4887,3655,4571,7103,7137,5802,4930,4910,4003,3882,3748,3773
Immigrants,Foreigners,Russian Federation,908,Europe,923,Eastern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,8857,12079,15249,14560,19656,16622,11517,12321,16940,20313,20771,13935,17410,18055,13159,9426,11695,8238,6718,7944,9969,9753
Immigrants,Foreigners,Rwanda,903,Africa,910,Eastern Africa,902,Less developed regions,7,6,8,7,8,3,8,3,5,7,6,12,10,25,16,41,118,170,52,97,73,148,217,109,163,276,502,357,378,952,489,520,592,540
Immigrants,Foreigners,Saint Helena,903,Africa,914,Western Africa,902,Less developed regions,6,0,3,2,0,1,1,6,3,..,..,..,..,4,0,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Saint Kitts and Nevis,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,874,867,1039,2773,1648,769,573,589,660,795,896,830,626,544,370,360,357,377,404,463,500,463,342,310,299,342,458,347,363,310,339,350,311,259
Immigrants,Foreigners,Saint Lucia,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,1193,733,586,662,484,499,502,496,606,709,833,766,654,634,449,403,582,531,509,529,599,674,583,488,616,832,1212,928,946,1027,872,785,919,853
Immigrants,Foreigners,Saint Pierre and Miquelon,905,Northern America,905,Northern America,901,More developed regions,6,4,0,1,1,0,0,0,0,0,0,0,..,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Saint Vincent and the Grenadines,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,763,799,719,767,695,693,635,746,634,892,973,808,687,657,524,349,606,581,413,442,497,559,480,322,400,625,756,567,568,591,576,468,503,529
Immigrants,Foreigners,Samoa,909,Oceania,957,Polynesia,902,Less developed regions,322,400,379,253,229,189,253,202,221,295,690,561,314,200,227,237,215,138,146,91,184,165,157,178,203,173,283,290,227,250,219,267,238,237
Immigrants,Foreigners,San Marino,908,Europe,925,Southern Europe,901,More developed regions,7,7,4,4,5,2,1,1,2,0,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Sao Tome and Principe,903,Africa,911,Middle Africa,902,Less developed regions,6,1,3,4,0,3,0,3,2,7,..,4,7,0,..,6,..,..,..,..,..,..,..,..,..,..,..,..,..,11,10,9,12,6
Immigrants,Foreigners,Saudi Arabia,935,Asia,922,Western Asia,902,Less developed regions,133,159,134,170,208,228,275,294,338,381,518,552,584,616,668,788,1164,815,703,759,1063,1178,1014,735,906,1210,1542,1171,1194,1418,1263,1396,1343,1463
Immigrants,Foreigners,Senegal,903,Africa,914,Western Africa,902,Less developed regions,106,65,74,71,59,91,91,92,130,141,537,869,337,178,213,506,640,435,372,368,554,663,530,522,769,913,1367,1024,1149,1524,1285,1424,1615,1340
Immigrants,Foreigners,Serbia,908,Europe,925,Southern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,244,704,866
Immigrants,Foreigners,Seychelles,903,Africa,910,Eastern Africa,902,Less developed regions,56,31,36,37,50,41,33,28,38,13,21,32,30,23,22,18,16,15,4,10,18,18,20,16,25,16,15,7,16,10,8,15,7,6
Immigrants,Foreigners,Sierra Leone,903,Africa,914,Western Africa,902,Less developed regions,267,277,283,319,368,371,323,453,571,939,1290,951,693,690,698,919,1918,1879,952,970,1585,1878,2246,1492,1596,2731,3572,1999,2795,2687,2011,1985,1688,1651
Immigrants,Foreigners,Singapore,935,Asia,920,South-Eastern Asia,902,Less developed regions,322,408,390,362,377,460,480,469,492,566,620,535,774,798,542,399,561,460,388,355,668,1100,1033,582,966,1204,997,985,922,832,774,690,712,835
Immigrants,Foreigners,Slovakia,908,Europe,923,Eastern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,..,10,221,503,663,629,491,492,549,809,725,674,800,965,1111,763,653,706,538,594,528,507
Immigrants,Foreigners,Slovenia,908,Europe,925,Southern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,8,50,67,65,77,62,57,58,76,142,140,64,88,114,115,87,79,108,74,69,86,62
Immigrants,Foreigners,Solomon Islands,909,Oceania,928,Melanesia,902,Less developed regions,..,..,5,8,0,0,5,2,3,4,7,..,..,3,5,..,..,..,5,..,7,7,7,5,6,3,5,10,7,..,6,D,D,3
Immigrants,Foreigners,Somalia,903,Africa,910,Eastern Africa,902,Less developed regions,43,61,89,83,90,139,139,197,183,228,277,458,500,1088,1737,3487,2169,4004,2623,1690,2393,3007,4535,2444,3929,5829,9462,6251,10745,13390,4558,4451,5204,3764
Immigrants,Foreigners,South Africa,903,Africa,913,Southern Africa,902,Less developed regions,1960,1559,1434,1261,1246,1210,1566,1741,1832,1899,1990,1854,2516,2197,2144,2560,2966,2091,1897,1577,2824,4090,3861,2210,3370,4536,3201,2988,2723,3171,2758,2649,2781,2629
Immigrants,Foreigners,Spain,908,Europe,925,Southern Europe,901,More developed regions,1879,1711,1586,1507,1393,1413,1591,1578,1483,1550,1886,1849,1631,1388,1418,1321,1659,1240,1040,869,1254,1711,1361,917,1339,1888,1971,1578,1621,1769,1684,1890,1842,2480
Immigrants,Foreigners,Sri Lanka,935,Asia,5501,Southern Asia,902,Less developed regions,397,448,505,472,554,553,596,630,634,757,976,1377,1081,1109,989,960,1277,1126,1084,899,1118,1505,1529,1246,1431,1894,2191,1831,1935,2009,2036,2053,1994,1847
Immigrants,Foreigners,Sudan,903,Africa,912,Northern Africa,902,Less developed regions,83,65,78,128,199,271,230,198,217,272,306,679,675,714,651,1645,2172,2028,1158,1346,1531,1650,2921,1883,3211,5231,5504,2930,3598,3577,2397,2628,2471,1945
Immigrants,Foreigners,Suriname,904,Latin America and the Caribbean,931,South America,902,Less developed regions,114,84,93,116,76,94,103,144,151,..,240,..,..,211,190,213,211,191,143,141,256,245,247,180,166,300,314,197,218,227,216,196,187,178
Immigrants,Foreigners,Swaziland,903,Africa,913,Southern Africa,902,Less developed regions,18,12,21,15,6,4,7,12,6,7,11,5,8,10,7,20,16,11,8,8,12,18,12,23,15,16,11,13,18,42,22,19,24,15
Immigrants,Foreigners,Sweden,908,Europe,924,Northern Europe,901,More developed regions,768,832,874,870,974,1076,1098,1057,1156,1078,1196,1080,1463,1393,1140,976,1251,956,818,821,1264,1682,1376,963,1270,1517,1376,1145,1019,1138,1097,979,968,1106
Immigrants,Foreigners,Switzerland,908,Europe,926,Western Europe,901,More developed regions,713,601,626,680,620,729,677,759,751,788,845,696,1023,972,877,881,1004,1063,825,647,1029,1298,1004,632,855,1092,983,705,720,798,675,615,635,697
Immigrants,Foreigners,Syrian Arab Republic,935,Asia,922,Western Asia,902,Less developed regions,1658,2127,2354,1683,1724,1581,1604,1669,2183,2675,2972,2837,2940,2933,2426,2362,3072,2269,2835,2048,2367,3350,2557,1938,2256,2831,2918,2385,2641,2442,2555,2785,3014,3366
Immigrants,Foreigners,Tajikistan,935,Asia,5500,Central Asia,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,186,336,568,706,634,311,66,104,156,187,181,137,167,207,239,172,231,265,299,382,411,550
Immigrants,Foreigners,Thailand,935,Asia,920,South-Eastern Asia,902,Less developed regions,4115,4799,5568,5875,4885,5239,6204,6733,6888,9332,8914,7397,7090,6654,5489,5136,4306,3092,3090,2366,3753,4245,4144,3126,4318,5505,11749,8751,6637,10444,9384,9962,9459,7583
Immigrants,Foreigners,The former Yugoslav Republic of Macedonia,908,Europe,925,Southern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,367,666,862,783,785,569,790,921,821,653,775,1070,1317,1227,1107,1128,963,1078,906,895
Immigrants,Foreigners,Togo,903,Africa,914,Western Africa,902,Less developed regions,9,10,16,16,13,14,22,19,22,29,30,33,45,41,52,83,157,221,246,254,386,487,935,1187,2041,1523,1720,1565,1661,1680,1563,1506,1756,1257
Immigrants,Foreigners,Tonga,909,Oceania,957,Polynesia,902,Less developed regions,453,588,561,481,555,669,510,545,434,646,1375,1685,703,348,293,403,415,303,229,281,349,327,331,238,327,309,437,438,365,379,343,408,276,348
Immigrants,Foreigners,Trinidad and Tobago,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,5154,4599,3532,3156,2900,2831,2891,3543,3947,5394,6740,8407,7008,6577,6292,5424,7331,6402,4845,4259,6635,6618,5738,4138,5384,6568,8854,6829,5937,6256,5435,5023,5214,4724
Immigrants,Foreigners,Tunisia,903,Africa,912,Northern Africa,902,Less developed regions,92,98,99,91,97,93,121,120,98,125,226,275,216,167,149,189,228,163,200,150,307,438,540,353,457,495,510,417,410,416,418,440,422,445
Immigrants,Foreigners,Turkey,935,Asia,922,Western Asia,902,Less developed regions,2233,2766,2864,2263,1793,1691,1753,1596,1642,2007,2468,2528,2488,2204,1840,2947,3657,3138,2676,2215,2606,3215,3375,3029,3835,4614,4941,4425,4210,4958,4483,4403,4162,4144
Immigrants,Foreigners,Turkmenistan,935,Asia,5500,Central Asia,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,34,48,68,84,121,99,44,65,97,94,93,84,117,148,248,217,274,290,224,260,223,210
Immigrants,Foreigners,Turks and Caicos Islands,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,40,48,41,41,20,12,26,21,47,78,206,121,59,39,26,27,35,37,46,27,46,33,31,26,28,34,52,31,35,31,29,33,30,50
Immigrants,Foreigners,Tuvalu,909,Oceania,957,Polynesia,902,Less developed regions,0,0,0,0,0,0,1,2,2,..,4,0,0,3,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Uganda,903,Africa,910,Eastern Africa,902,Less developed regions,343,410,304,332,369,301,401,357,343,393,674,538,437,415,391,383,421,398,355,250,418,457,575,455,721,858,1372,1122,1174,1364,1085,1239,1340,1350
Immigrants,Foreigners,Ukraine,908,Europe,923,Eastern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,14383,18316,21010,17432,21072,15691,7444,10102,15511,20914,21190,11633,14156,22745,17140,11001,10813,11223,8477,8292,7642,8193
Immigrants,Foreigners,United Arab Emirates,935,Asia,922,Western Asia,902,Less developed regions,32,24,40,31,76,92,121,122,111,114,192,164,172,196,286,317,343,329,329,310,435,460,472,380,586,812,1006,758,693,697,779,707,854,910
Immigrants,Foreigners,United Kingdom of Great Britain and Northern Ireland,908,Europe,924,Northern Europe,901,More developed regions,15485,14997,14539,14830,13949,13408,13657,13497,13228,14090,15928,13903,19973,18783,16326,12427,13607,10679,8976,7647,13273,18278,16297,9527,14915,19800,17207,14545,14348,15748,12792,11572,12014,12984
Immigrants,Foreigners,United Republic of Tanzania,903,Africa,910,Eastern Africa,902,Less developed regions,339,423,304,364,418,395,370,385,388,507,635,500,352,426,357,524,553,399,339,313,480,476,577,554,747,829,949,832,838,2773,1850,1427,1516,837
Immigrants,Foreigners,United States of America,905,Northern America,905,Northern America,901,More developed regions,206,149,156,105,3,0,0,0,0,108,122,70,66,60,47,57,51,38,30,29,35,63,64,32,57,183,333,171,216,181,201,269,279,319
Immigrants,Foreigners,United States Virgin Islands,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,0,1,6,10,3,0,0,0,0,..,..,6,..,..,..,..,..,0,..,5,3,6,9,4,13,8,7,3,..,..,..,D,D,D
Immigrants,Foreigners,Uruguay,904,Latin America and the Caribbean,931,South America,902,Less developed regions,887,972,707,681,712,790,699,709,612,948,1457,1161,716,568,516,414,539,427,367,267,426,541,536,469,787,1154,1664,1418,1451,1775,1331,1553,1374,1352
Immigrants,Foreigners,Uzbekistan,935,Asia,5500,Central Asia,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,1712,2664,3435,3645,4686,3311,600,1221,1631,2031,2317,1445,1995,2887,4015,4665,6375,5467,4770,5056,4726,4382
Immigrants,Foreigners,Vanuatu,909,Oceania,928,Melanesia,902,Less developed regions,..,..,5,0,0,0,4,2,2,..,..,5,..,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Venezuela (Bolivarian Republic of),904,Latin America and the Caribbean,931,South America,902,Less developed regions,1010,1104,1336,1508,1721,1714,1854,1694,1791,2099,3142,2622,2340,2743,2427,2627,3465,3326,3129,2498,4693,5170,5228,4018,6220,10645,11341,10692,10514,11154,9409,9183,9387,9572
Immigrants,Foreigners,Viet Nam,935,Asia,920,South-Eastern Asia,902,Less developed regions,43483,55631,72553,37560,37236,31895,29993,24231,25789,37739,48792,55307,77735,59614,41345,41752,42053,38511,17635,20335,26553,35419,33563,22087,31524,32784,30691,28691,31497,29234,30632,34157,28304,27101
Immigrants,Foreigners,Wallis and Futuna Islands,909,Oceania,957,Polynesia,902,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,..,6,5,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
